"year","month","common","MODE_FX","AREA_X","catch_count","mean_brevis_count"
1990,2,"ATLANTIC CROAKER",7,5,2,110156
1990,2,"ATLANTIC MACKEREL",7,5,1,110156
1990,2,"ATLANTIC SPADEFISH",3,5,1,110156
1990,2,"BLACK DRUM",7,5,25,110156
1990,2,"BLACK SEA BASS",3,5,3,110156
1990,2,"BLACK SEA BASS",5,5,2,110156
1990,2,"BLACK SEA BASS",7,5,114,110156
1990,2,"CLEARNOSE SKATE",7,5,1,110156
1990,2,"FLORIDA POMPANO",7,5,2,110156
1990,2,"GAFFTOPSAIL CATFISH",3,5,45,110156
1990,2,"GAFFTOPSAIL CATFISH",7,5,38,110156
1990,2,"GAG",7,5,25,110156
1990,2,"GRAY SNAPPER",3,5,1,110156
1990,2,"GRAY SNAPPER",7,5,28,110156
1990,2,"GROUPER GENUS (MYCTEROPERCA)",7,5,1,110156
1990,2,"GRUNT FAMILY",7,5,26,110156
1990,2,"GULF FLOUNDER",3,5,3,110156
1990,2,"GULF FLOUNDER",7,5,5,110156
1990,2,"GULF KINGFISH",7,5,7,110156
1990,2,"GULF TOADFISH",3,5,1,110156
1990,2,"GULF TOADFISH",7,5,1,110156
1990,2,"HARDHEAD CATFISH",3,5,13,110156
1990,2,"HARDHEAD CATFISH",7,5,48,110156
1990,2,"KINGFISH GENUS",7,5,4,110156
1990,2,"LADYFISH",3,5,15,110156
1990,2,"LADYFISH",7,5,68,110156
1990,2,"LEFTEYE FLOUNDER GENUS",7,5,3,110156
1990,2,"PIGFISH",3,5,1,110156
1990,2,"PIGFISH",7,5,1,110156
1990,2,"PINFISH",3,5,4,110156
1990,2,"PINFISH",7,5,74,110156
1990,2,"PUFFER FAMILY",7,5,4,110156
1990,2,"PUFFER GENUS",3,5,1,110156
1990,2,"RED DRUM",3,5,9,110156
1990,2,"RED DRUM",5,5,3,110156
1990,2,"RED DRUM",7,5,6,110156
1990,2,"RED GROUPER",7,5,3,110156
1990,2,"SAND PERCH",7,5,21,110156
1990,2,"SAND SEATROUT",7,5,77,110156
1990,2,"SEA CATFISH FAMILY",3,5,2,110156
1990,2,"SEA CATFISH FAMILY",7,5,12,110156
1990,2,"SEAROBIN FAMILY",7,5,4,110156
1990,2,"SHEEPSHEAD",3,5,20,110156
1990,2,"SHEEPSHEAD",7,5,108,110156
1990,2,"SILVER PERCH",7,5,101,110156
1990,2,"SILVER SEATROUT",3,5,2,110156
1990,2,"SILVER SEATROUT",7,5,176,110156
1990,2,"SKATE GENUS",7,5,1,110156
1990,2,"SMOOTH PUFFER",7,5,2,110156
1990,2,"SOUTHERN KINGFISH",3,5,3,110156
1990,2,"SOUTHERN KINGFISH",7,5,8,110156
1990,2,"SOUTHERN PUFFER",7,5,1,110156
1990,2,"SOUTHERN STINGRAY",7,5,2,110156
1990,2,"SPANISH MACKEREL",3,5,1,110156
1990,2,"SPANISH MACKEREL",5,5,10,110156
1990,2,"SPANISH MACKEREL",7,5,32,110156
1990,2,"SPOTTED SEATROUT",3,5,12,110156
1990,2,"SPOTTED SEATROUT",7,5,267,110156
1990,2,"STINGRAY FAMILY",3,5,3,110156
1990,2,"STINGRAY FAMILY",7,5,3,110156
1990,2,"STRIPED BURRFISH",7,5,2,110156
1990,2,"STRIPED MULLET",7,5,19,110156
1990,2,"TOMTATE",7,5,1,110156
1990,2,"UNIDENTIFIED FISH",3,5,1,110156
1990,2,"UNIDENTIFIED FISH",7,5,1,110156
1990,2,"WHITE GRUNT",7,5,24,110156
1990,3,"ATLANTIC CROAKER",7,5,1,1834
1990,3,"BLACK SEA BASS",7,5,46,1834
1990,3,"BLUE RUNNER",3,5,94,1834
1990,3,"BLUE RUNNER",7,5,8,1834
1990,3,"COMMON SNOOK",7,5,1,1834
1990,3,"CREVALLE JACK",7,5,2,1834
1990,3,"GAFFTOPSAIL CATFISH",7,5,13,1834
1990,3,"GAG",7,5,3,1834
1990,3,"GRAY SNAPPER",7,5,11,1834
1990,3,"GULF FLOUNDER",7,5,1,1834
1990,3,"GULF TOADFISH",7,5,6,1834
1990,3,"HARDHEAD CATFISH",7,5,43,1834
1990,3,"INSHORE LIZARDFISH",3,5,1,1834
