"common","catch_count","year","month","MODE_FX","AREA_X","clust","mean_brevis_count"
"ATLANTIC CROAKER",2,"1990","2","7","5","3",110156
"ATLANTIC MACKEREL",1,"1990","2","7","5","3",110156
"ATLANTIC SPADEFISH",1,"1990","2","3","5","3",110156
"BLACK DRUM",25,"1990","2","7","5","2",110156
"BLACK SEA BASS",3,"1990","2","3","5","3",110156
"BLACK SEA BASS",2,"1990","2","5","5","2",110156
"BLACK SEA BASS",114,"1990","2","7","5","4",110156
"CLEARNOSE SKATE",1,"1990","2","7","5","3",110156
"FLORIDA POMPANO",2,"1990","2","7","5","2",110156
"GAFFTOPSAIL CATFISH",45,"1990","2","3","5","3",110156
"GAFFTOPSAIL CATFISH",38,"1990","2","7","5","3",110156
"GAG",25,"1990","2","7","5","3",110156
"GRAY SNAPPER",1,"1990","2","3","5","3",110156
"GRAY SNAPPER",28,"1990","2","7","5","3",110156
"GROUPER GENUS (MYCTEROPERCA)",1,"1990","2","7","5","3",110156
"GRUNT FAMILY",26,"1990","2","7","5","3",110156
"GULF FLOUNDER",3,"1990","2","3","5","3",110156
"GULF FLOUNDER",5,"1990","2","7","5","3",110156
"GULF KINGFISH",7,"1990","2","7","5","3",110156
"GULF TOADFISH",1,"1990","2","3","5","3",110156
"GULF TOADFISH",1,"1990","2","7","5","3",110156
"HARDHEAD CATFISH",13,"1990","2","3","5","3",110156
"HARDHEAD CATFISH",48,"1990","2","7","5","3",110156
"KINGFISH GENUS",4,"1990","2","7","5","3",110156
"LADYFISH",15,"1990","2","3","5","3",110156
"LADYFISH",68,"1990","2","7","5","3",110156
"LEFTEYE FLOUNDER GENUS",3,"1990","2","7","5","3",110156
"PIGFISH",1,"1990","2","3","5","3",110156
"PIGFISH",1,"1990","2","7","5","3",110156
"PINFISH",4,"1990","2","3","5","3",110156
"PINFISH",74,"1990","2","7","5","4",110156
"PUFFER FAMILY",4,"1990","2","7","5","3",110156
"PUFFER GENUS",1,"1990","2","3","5","2",110156
"RED DRUM",9,"1990","2","3","5","3",110156
"RED DRUM",3,"1990","2","5","5","2",110156
"RED DRUM",6,"1990","2","7","5","3",110156
"RED GROUPER",3,"1990","2","7","5","3",110156
"SAND PERCH",21,"1990","2","7","5","3",110156
"SAND SEATROUT",77,"1990","2","7","5","3",110156
"SEA CATFISH FAMILY",2,"1990","2","3","5","3",110156
"SEA CATFISH FAMILY",12,"1990","2","7","5","3",110156
"SEAROBIN FAMILY",4,"1990","2","7","5","3",110156
"SHEEPSHEAD",20,"1990","2","3","5","3",110156
"SHEEPSHEAD",108,"1990","2","7","5","4",110156
"SILVER PERCH",101,"1990","2","7","5","3",110156
"SILVER SEATROUT",2,"1990","2","3","5","3",110156
"SILVER SEATROUT",176,"1990","2","7","5","4",110156
"SKATE GENUS",1,"1990","2","7","5","3",110156
"SMOOTH PUFFER",2,"1990","2","7","5","3",110156
"SOUTHERN KINGFISH",3,"1990","2","3","5","3",110156
"SOUTHERN KINGFISH",8,"1990","2","7","5","3",110156
"SOUTHERN PUFFER",1,"1990","2","7","5","3",110156
"SOUTHERN STINGRAY",2,"1990","2","7","5","3",110156
"SPANISH MACKEREL",1,"1990","2","3","5","2",110156
"SPANISH MACKEREL",10,"1990","2","5","5","2",110156
"SPANISH MACKEREL",32,"1990","2","7","5","3",110156
"SPOTTED SEATROUT",12,"1990","2","3","5","3",110156
"SPOTTED SEATROUT",267,"1990","2","7","5","4",110156
"STINGRAY FAMILY",3,"1990","2","3","5","3",110156
"STINGRAY FAMILY",3,"1990","2","7","5","3",110156
"STRIPED BURRFISH",2,"1990","2","7","5","3",110156
"STRIPED MULLET",19,"1990","2","7","5","3",110156
"TOMTATE",1,"1990","2","7","5","3",110156
"UNIDENTIFIED FISH",1,"1990","2","3","5","3",110156
"UNIDENTIFIED FISH",1,"1990","2","7","5","3",110156
"WHITE GRUNT",24,"1990","2","7","5","3",110156
"ATLANTIC CROAKER",1,"1990","3","7","5","3",1834
"BLACK SEA BASS",46,"1990","3","7","5","3",1834
"BLUE RUNNER",94,"1990","3","3","5","3",1834
