"year","month","mean_brevis_count","catch_count","previous_month_mean_brevis"
1990,2,110156,1505,0
1990,3,1834,681,110156
1990,8,0,938,1834
1990,10,0,1718,0
1991,7,699640,340,0
1991,9,152600,101,699640
1991,10,9893,63,152600
1991,11,0,292,9893
1991,12,0,13,0
1992,9,3234990,12,0
1992,10,96106,349,3234990
1992,11,404089,336,96106
1992,12,111,126,404089
1993,8,0,1024,111
1994,9,2924140,34,0
1994,10,436650,368,2924140
1994,11,1393431,41,436650
1994,12,4770404,155,1393431
1995,1,3332,67,4770404
1995,2,0,140,3332
1995,5,456450,83,0
1995,6,1464380,94,456450
1995,7,49421,26,1464380
1995,8,1386527,50,49421
1995,9,1543920,337,1386527
1995,10,8899,17,1543920
1995,11,5728,38,8899
1995,12,696915,48,5728
1996,1,27483,78,696915
1996,2,5143478,74,27483
1996,3,171481,306,5143478
1996,4,22569,276,171481
1996,5,255373,1080,22569
1996,6,2300,150,255373
1996,7,419,110,2300
1996,8,169,348,419
1996,9,0,497,169
1996,10,24,250,0
1996,11,4971,651,24
1996,12,3325,204,4971
1997,1,7391,235,3325
1997,2,0,168,7391
1997,3,0,363,0
1997,4,0,33,0
1997,5,0,306,0
1997,7,0,75,0
1997,8,0,380,0
1997,9,107,1053,0
1997,10,143,712,107
1997,11,116,604,143
1997,12,0,207,116
1998,1,0,77,0
1998,2,62,14,0
1998,3,37,43,62
1998,4,0,115,37
1998,5,1000,973,0
1998,6,0,236,1000
1998,7,0,259,0
1998,8,0,1868,0
1998,9,5093,184,0
1998,10,153,424,5093
1998,11,222,1051,153
1998,12,104,436,222
1999,1,880,379,104
1999,2,444274,1874,880
1999,3,132,1001,444274
1999,4,0,1921,132
1999,5,0,471,0
1999,6,222,161,0
1999,7,125,652,222
1999,8,0,1958,125
1999,9,0,121,0
1999,10,427741,61,0
1999,11,0,689,427741
1999,12,100,132,0
2000,1,26,264,100
2000,2,0,203,26
2000,3,250,710,0
2000,4,50,283,250
2000,5,100,319,50
2000,6,0,148,100
2000,7,0,71,0
2000,8,0,113,0
2000,9,1771,734,0
2000,10,73596,157,1771
2000,11,889,601,73596
2000,12,0,7,889
2001,1,125,75,0
2001,2,222,222,125
2001,3,200,111,222
2001,5,42,10,200
2001,6,0,426,42
2001,7,0,406,0
2001,8,1659,218,0
2001,9,2406768,685,1659
2001,10,408697,84,2406768
2001,11,536985,76,408697
2001,12,24385,82,536985
2002,1,87629,200,24385
2002,2,53552,342,87629
2002,3,0,338,53552
2002,4,50037,162,0
2002,5,307,1001,50037
2002,6,14381,59,307
2002,7,106844,808,14381
2002,8,165833,1092,106844
2002,9,32122,481,165833
2002,10,357,169,32122
2002,11,1021,482,357
2002,12,0,377,1021
2003,1,33927,253,0
2003,2,188,433,33927
2003,3,145111,600,188
2003,4,408031,835,145111
2003,5,140333,134,408031
2003,6,78740,926,140333
2003,7,117240,198,78740
2003,8,241941,503,117240
2003,9,39826,835,241941
2003,10,10822,1113,39826
2003,11,158,111,10822
2003,12,67,192,158
2004,1,32527,430,67
2004,2,247004,444,32527
2004,3,26,1992,247004
2004,4,192,288,26
2004,5,192,194,192
2004,6,105,107,192
2004,7,0,234,105
2004,8,0,709,0
2004,9,48,199,0
2004,10,1833,399,48
2004,11,29,355,1833
2004,12,0,299,29
2005,1,136815,358,0
2005,2,4346149,252,136815
2005,3,485298,166,4346149
2005,4,110077,686,485298
2005,5,1089990,241,110077
2005,6,3775296,166,1089990
2005,7,3277083,258,3775296
2005,8,482696,203,3277083
2005,9,7696284,68,482696
2005,10,161553,1232,7696284
2005,11,300092,346,161553
2006,1,3757,233,300092
2006,2,0,99,3757
2006,3,0,526,0
2006,4,0,87,0
2006,5,11,672,0
2006,6,0,118,11
2006,7,95,336,0
2006,8,1189471,223,95
2006,9,2615909,152,1189471
2006,10,692568,927,2615909
2006,11,72570,85,692568
2006,12,3677,23,72570
2007,1,21299,22,3677
2007,2,0,24,21299
2007,3,0,138,0
2007,4,0,236,0
2007,5,5,190,0
2007,6,101,334,5
2007,7,0,378,101
2007,8,0,123,0
2007,9,0,244,0
2007,10,29,420,0
2007,11,7,327,29
2007,12,23,358,7
2008,1,0,261,23
2008,2,0,347,0
2008,3,0,520,0
2008,4,59,156,0
2008,5,32,338,59
2008,6,14,278,32
2008,7,4,24,14
2008,8,0,152,4
2008,9,25,17,0
2008,10,253,418,25
2008,11,137,634,253
2008,12,0,296,137
2009,1,22,203,0
2009,2,0,392,22
2009,3,0,373,0
2009,4,4,302,0
2009,5,48,449,4
2009,6,146,8,48
2009,7,45,409,146
2009,8,4,2178,45
2009,9,105,2034,4
2009,10,236,387,105
2009,11,164,291,236
2009,12,1748,324,164
2010,1,33,53,1748
2010,2,0,190,33
2010,3,10,498,0
2010,4,0,658,10
2010,5,10,640,0
2010,6,13,579,10
2010,7,0,728,13
2010,8,11,751,0
2010,9,15,2364,11
2010,10,74,482,15
2010,11,43,429,74
2010,12,0,236,43
2011,1,0,127,0
2011,2,0,737,0
2011,3,70,987,0
2011,4,218,359,70
2011,5,46,465,218
2011,6,57,456,46
2011,7,66,1528,57
2011,8,29,663,66
2011,9,105,836,29
2011,10,11,827,105
2011,11,137,160,11
2011,12,0,842,137
2012,1,69,241,0
2012,2,0,377,69
2012,3,32,641,0
2012,4,41,768,32
2012,5,53,276,41
2012,6,405,989,53
2012,7,24,296,405
2012,8,89,1073,24
2012,9,2363,331,89
2012,10,61107,419,2363
2012,11,60323,569,61107
2012,12,11826,364,60323
2013,1,128079,216,11826
2013,2,23730,338,128079
2013,3,5156,348,23730
2013,4,270,659,5156
2013,5,448,586,270
2013,6,107,154,448
2013,7,376,225,107
2013,8,35,417,376
2013,9,233,286,35
2013,10,1551,1757,233
2013,11,328,844,1551
2013,12,58,47,328
2014,1,106,255,58
2014,2,3,310,106
2014,3,39,308,3
2014,4,45,269,39
2014,5,63,436,45
2014,6,50,728,63
2014,7,27,228,50
2014,8,174,790,27
2014,9,11,19,174
2014,10,51,644,11
2014,11,4,1016,51
2014,12,15,937,4
2015,1,0,23,15
2015,2,0,337,0
2015,3,0,361,0
2015,4,0,653,0
2015,5,0,593,0
2015,6,6,955,0
2015,7,0,488,6
2015,8,4,824,0
2015,9,845,923,4
2015,10,189048,79,845
2015,11,1336236,677,189048
2015,12,474366,227,1336236
2016,1,657734,233,474366
2016,2,420582,127,657734
2016,3,2840,367,420582
2016,4,2052,155,2840
2016,5,1967,263,2052
2016,6,14,650,1967
2016,7,12,1827,14
2016,8,94,407,12
2016,9,506919,148,94
2016,10,493929,473,506919
2016,11,756929,1124,493929
2016,12,779738,712,756929
2017,1,358864,104,779738
2017,2,135137,86,358864
2017,3,8333,841,135137
2017,4,13612,74,8333
2017,5,1030,171,13612
2017,6,676,233,1030
2017,7,7,624,676
2017,8,0,59,7
2017,9,8,717,0
2017,10,633,113,8
2017,11,372,547,633
2017,12,4057,1011,372
2018,1,105,111,4057
2018,2,10,474,105
2018,3,4284,1045,10
2018,4,26,2312,4284
2018,5,405,211,26
2018,6,86283,255,405
2018,7,24555,149,86283
2018,8,7595210,14,24555
2018,9,1299198,27,7595210
2018,10,423579,578,1299198
2018,11,2623384,38,423579
2018,12,101672,78,2623384
2019,1,55875,62,101672
2019,2,0,303,55875
2019,3,0,240,0
2019,4,0,430,0
2019,5,140,241,0
2019,6,14,3,140
2019,7,0,254,14
2019,8,8,176,0
2019,9,21,60,8
2019,10,20,49,21
2019,12,0,271,20
2020,1,34,255,0
2020,2,0,387,34
2020,3,0,722,0
2020,4,83,2742,0
2020,5,667,325,83
2020,6,359,382,667
2020,7,2308,32,359
2020,8,30,414,2308
2020,9,0,189,30
2020,10,0,121,0
2020,11,79,198,0
2020,12,271,270,79
