X,Y,OBJECTID,SAMPLE_DATE,TIME,TIMEZONE,DEPTH,LOCATION,LATITUDE,LONGITUDE,NAME,COUNT_,HAB_ID,Shape
-82.36189,26.92467,3057525,2020/01/01 00:00:00+00,14:00:00,EST,0.5,Englewood Beach,26.92467,-82.36189,Karenia brevis,0,HABW200103-071,
-82.27415,26.80562,3057526,2020/01/01 00:00:00+00,8:00:00,EST,0.5,Boca Grande Pier (Gasparilla Sound),26.80562,-82.27415,Karenia brevis,333,HABW200103-072,
-81.136547,29.477936,3057539,2020/01/01 00:00:00+00,11:00:00,EST,0.5,Flagler Beach Bridge (Matanzas River),29.477936,-81.136547,Karenia brevis,0,HABW200103-085,
-81.1213,29.469131,3057540,2020/01/01 00:00:00+00,11:35:00,EST,0.5,Flagler Beach,29.469131,-81.1213,Karenia brevis,0,HABW200103-086,
-82.1945,26.5264,3057497,2020/01/02 00:00:00+00,7:47:00,EST,0.5,Alison Hagerup Beach Park,26.5264,-82.1945,Karenia brevis,0,HABW200103-043,
-82.0801,26.4217,3057499,2020/01/02 00:00:00+00,8:29:00,EST,0.5,Tarpon Bay Road Beach,26.4217,-82.0801,Karenia brevis,0,HABW200103-045,
-82.01543,26.45157,3057501,2020/01/02 00:00:00+00,8:59:00,EST,0.5,Lighthouse Beach,26.45157,-82.01543,Karenia brevis,0,HABW200103-047,
-81.95776,26.45398,3057502,2020/01/02 00:00:00+00,9:43:00,EST,0.5,Lynn Hall Park,26.45398,-81.95776,Karenia brevis,0,HABW200103-048,
-81.8795,26.3901,3057503,2020/01/02 00:00:00+00,10:55:00,EST,0.5,Lovers Key State Park,26.3901,-81.8795,Karenia brevis,0,HABW200103-049,
-81.84574,26.33105,3057507,2020/01/02 00:00:00+00,11:43:00,EST,0.5,Bonita Beach Park,26.33105,-81.84574,Karenia brevis,0,HABW200103-053,
-81.72805,25.91165,3057509,2020/01/02 00:00:00+00,12:30:00,EST,0.5,South Marco Beach,25.91165,-81.72805,Karenia brevis,0,HABW200103-055,
-81.8362,26.30481,3057510,2020/01/02 00:00:00+00,14:30:00,EST,0.5,Barefoot Beach State Preserve,26.30481,-81.8362,Karenia brevis,0,HABW200103-056,
-81.82377,26.25375,3057511,2020/01/02 00:00:00+00,15:00:00,EST,0.5,Vanderbilt Beach,26.25375,-81.82377,Karenia brevis,0,HABW200103-057,
-81.8154,26.1863,3057512,2020/01/02 00:00:00+00,15:30:00,EST,0.5,Vedado Way; W of,26.1863,-81.8154,Karenia brevis,0,HABW200103-058,
-81.8063,26.13163,3057513,2020/01/02 00:00:00+00,15:45:00,EST,0.5,Naples Pier,26.13163,-81.8063,Karenia brevis,0,HABW200103-059,
-80.10887,26.058006,3057514,2020/01/02 00:00:00+00,11:25:00,EST,0.5,Dania Beach Fishing Pier,26.058006,-80.10887,Karenia brevis,0,HABW200103-060,
-80.09235,26.189189,3057515,2020/01/02 00:00:00+00,10:18:00,EST,0.5,Anglins Fishing Pier,26.189189,-80.09235,Karenia brevis,0,HABW200103-061,
-80.07265,26.316484,3057516,2020/01/02 00:00:00+00,9:34:00,EST,0.5,Deerfield Beach Fishing Pier,26.316484,-80.07265,Karenia brevis,0,HABW200103-062,
-80.795517,28.62365,3057517,2020/01/02 00:00:00+00,11:30:00,EST,0.2,Parrish Park Boat Ramp (Indian River),28.62365,-80.795517,Karenia brevis,0,HABW200103-063,
-80.7391,28.52641,3057518,2020/01/02 00:00:00+00,12:55:00,EST,0.2,NASA Causeway; SE side of (Indian River),28.52641,-80.7391,Karenia brevis,0,HABW200103-064,
-80.766533,28.475083,3057519,2020/01/02 00:00:00+00,13:32:00,EST,0.2,Port St. John Boat Ramp (Indian River),28.475083,-80.766533,Karenia brevis,0,HABW200103-065,
-80.66245,28.4017,3057520,2020/01/02 00:00:00+00,13:55:00,EST,0.2,Kelly Park (Banana River),28.4017,-80.66245,Karenia brevis,0,HABW200103-066,
-80.62844,28.357133,3057521,2020/01/02 00:00:00+00,14:08:00,EST,0.2,520 Slick Boat Ramp (Banana River),28.357133,-80.62844,Karenia brevis,0,HABW200103-067,
-80.614283,28.309033,3057522,2020/01/02 00:00:00+00,14:30:00,EST,0.2,Ramp Road Park Boat Ramp (Banana River),28.309033,-80.614283,Karenia brevis,0,HABW200103-068,
